TestRun		Type	L	A	RelativeDensity
1		NG	30.186	312.6946889	0.288186695
2		G	30.48916667	320.2563244	0.322192481
3		NG	30.21433333	315.5768489	0.283343289
4		G	30.425	320.46135	0.318099135
5		NG	30.21133333	315.90768	0.294943651
6		G	30.39233333	320.2358372	0.304130824
7		NG	30.27283333	320.1976889	0.34206662
8		G	30.67383333	313.9256	0.294699352
9		NG	30.13983333	317.5644633	0.297137023
10		G	30.19583333	311.9711778	0.256841984
11		G	30.19866667	310.7770133	0.261660566
12		NG	30.18433333	315.6045317	0.291738403
13		G	30.12233333	323.4441894	0.280593479
14		NG	30.0065	309.8991667	0.250273164
15		G	30.43466667	314.935775	0.258537007
16		NG	29.9025	320.170325	0.269430894
17		G	30.275	320.0321583	0.27593017
18		NG	30.13266667	308.2144	0.276882568
19		NG	29.88416667	303.4279967	0.249848518
20		G	30.3265	321.1128667	0.26840873
