Test	Type	RelativeDensity	A	L
1	NG	0.280472024	316.966	30.59833333
2	NG	0.310683529	325.7643378	31.084
3	G	0.277023795	318.8327511	30.588
4	G	0.308010786	325.5153	30.93366667
5	G	0.289336606	318.4527867	30.55066667
6	NG	0.295592675	324.49262	30.86
7	G	0.335476115	323.3002	30.57133333
8	NG	0.281139266	321.0717956	31.43766667
9	G	0.291182935	320.5570933	30.469
10	G	0.246315447	318.1168667	30.878
11	NG	0.251406297	316.7675933	30.836
12	NG	0.286175275	317.94074	30.545
13	NG	0.27418578	326.5332622	30.53466667
14	NG	0.241959716	314.5970933	30.574
15	NG	0.248005203	321.5343367	31.076
16	G	0.263903574	323.1389022	30.24833333
17	G	0.267897278	324.8040833	30.72466667
18	G	0.271130972	311.36	30.461
19	G	0.240664985	308.9297322	30.472
20	NG	0.259092799	325.9853333	30.94733333
