number of commands per 100 mm ( a = 1000),25 mm/s,20 mm/s,15 mm/s,10 mm/s,5 mm/s
0,4.02500000000000,5.02000000000000,6.68166666666667,10.0100000000000,20.0050000000000
10,4.25000000000000,5.20000000000000,6.81666666666667,10.1000000000000,20.0500000000000
20,4.50000000000000,5.40000000000000,6.96666666666667,10.2000000000000,20.1000000000000
30,4.75000000000000,5.60000000000000,7.11666666666667,10.3000000000000,20.1500000000000
40,5.00000000000000,5.80000000000000,7.26666666666667,10.4000000000000,20.2000000000000
50,5.25000000000000,6.00000000000000,7.41666666666667,10.5000000000000,20.2500000000000
60,5.50000000000000,6.20000000000000,7.56666666666667,10.6000000000000,20.3000000000000
70,5.75000000000000,6.40000000000000,7.71666666666667,10.7000000000000,20.3500000000000
80,6.00000000000000,6.60000000000000,7.86666666666667,10.8000000000000,20.4000000000000
90,6.25000000000000,6.80000000000000,8.01666666666667,10.9000000000000,20.4500000000000
100,6.50000000000000,7.00000000000000,8.16666666666667,11.0000000000000,20.5000000000000
110,6.75000000000000,7.20000000000000,8.31666666666667,11.1000000000000,20.5500000000000
120,7.00000000000000,7.40000000000000,8.46666666666667,11.2000000000000,20.6000000000000
130,7.25000000000000,7.60000000000000,8.61666666666667,11.3000000000000,20.6500000000000
140,7.50000000000000,7.80000000000000,8.76666666666667,11.4000000000000,20.7000000000000
150,7.75000000000000,8.00000000000000,8.91666666666667,11.5000000000000,20.7500000000000
160,8.00000000000000,8.20000000000000,9.06666666666667,11.6000000000000,20.8000000000000
170,8.24621125123532,8.40000000000000,9.21666666666667,11.7000000000000,20.8500000000000
180,8.48528137423857,8.60000000000000,9.36666666666667,11.8000000000000,20.9000000000000
190,8.71779788708135,8.80000000000000,9.51666666666667,11.9000000000000,20.9500000000000
200,8.94427190999916,9.00000000000000,9.66666666666667,12.0000000000000,21.0000000000000
210,9.16515138991168,9.20000000000000,9.81666666666667,12.1000000000000,21.0500000000000
220,9.38083151964686,9.40000000000000,9.96666666666667,12.2000000000000,21.1000000000000
230,9.59166304662544,9.60000000000000,10.1166666666667,12.3000000000000,21.1500000000000
240,9.79795897113271,9.80000000000000,10.2666666666667,12.4000000000000,21.2000000000000
250,10.0000000000000,10.0000000000000,10.4166666666667,12.5000000000000,21.2500000000000
260,10.1980390271856,10.1980390271856,10.5666666666667,12.6000000000000,21.3000000000000
270,10.3923048454133,10.3923048454133,10.7166666666667,12.7000000000000,21.3500000000000
280,10.5830052442584,10.5830052442584,10.8666666666667,12.8000000000000,21.4000000000000
290,10.7703296142690,10.7703296142690,11.0166666666667,12.9000000000000,21.4500000000000
300,10.9544511501033,10.9544511501033,11.1666666666667,13.0000000000000,21.5000000000000
310,11.1355287256600,11.1355287256600,11.3166666666667,13.1000000000000,21.5500000000000
320,11.3137084989848,11.3137084989848,11.4666666666667,13.2000000000000,21.6000000000000
330,11.4891252930761,11.4891252930761,11.6166666666667,13.3000000000000,21.6500000000000
340,11.6619037896906,11.6619037896906,11.7666666666667,13.4000000000000,21.7000000000000
350,11.8321595661992,11.8321595661992,11.9166666666667,13.5000000000000,21.7500000000000
360,12.0000000000000,12.0000000000000,12.0666666666667,13.6000000000000,21.8000000000000
370,12.1655250605964,12.1655250605964,12.2166666666667,13.7000000000000,21.8500000000000
380,12.3288280059380,12.3288280059380,12.3666666666667,13.8000000000000,21.9000000000000
